Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,,,,,,,,,
1860 Munich,,,,,17,,,,,,,,,,,,,,,
Aachen,,,,,,,,17,,18,,,,,,,,,,
Augsburg,,,,,,,,,,,,,14,15,8,5,12,13,12,15
Bayern Munich,,,,,2,1,1,4,1,2,1,3,2,1,1,1,1,1,1,1
Bielefeld,,,,,,13,13,12,15,,,,,,,,,,,
Bochum,,,,,5,16,,8,12,14,17,,,,,,,,,
Braunschweig,,,,,,,,,,,,,,,18,,,,,
Cottbus,,,,,,,,13,14,16,,,,,,,,,,
Darmstadt,,,,,,,,,,,,,,,,,14,18,,
Dortmund,,,,,6,7,7,9,13,6,5,1,1,2,2,7,2,3,4,2
Duisburg,,,,,,,18,,18,,,,,,,,,,,
Ein Frankfurt,,,,,16,,14,14,9,13,10,17,,6,13,9,16,11,8,7
FC Koln,,,,,18,,17,,,12,13,10,17,,,12,9,5,18,
Fortuna Dusseldorf,,,,,,,,,,,,,,17,,,,,,10
Freiburg,,,,,13,18,,,,,14,9,12,5,14,17,,7,15,13
Greuther Furth,,,,,,,,,,,,,,18,,,,,,
Hamburg,,,,,8,8,3,7,4,5,7,8,15,7,16,16,10,14,17,
Hannover,,,,,14,10,12,11,8,11,15,4,7,,10,13,18,,13,17
Hansa Rostock,,,,,9,17,,,17,,,,,9,,,,,,
Hertha,,,,,12,4,6,10,10,4,18,,16,,11,15,7,6,10,11
Hoffenheim,,,,,,,,,,7,11,11,11,16,9,8,15,4,3,9
Ingolstadt,,,,,,,,,,,,,,,,,11,17,,
Kaiserslautern,,,,,15,12,16,,,,,7,18,,,,,,,
Karlsruhe,,,,,,,,,11,17,,,,,,,,,,
Leverkusen,,,,,3,6,5,5,7,9,4,2,5,3,4,4,3,12,5,4
Mainz,,,,,,11,11,16,,,9,5,13,13,7,11,6,15,14,12
M'gladbach,,,,,11,15,10,18,,15,12,16,4,8,6,3,4,9,9,5
Nurnberg,,,,,,14,8,6,16,,16,6,10,10,17,,,,,18
Paderborn,,,,,,,,,,,,,,,,18,,,,
RB Leipzig,,,,,,,,,,,,,,,,,,2,6,3
Schalke 04,,,,,7,2,4,2,3,8,2,14,3,4,3,6,5,10,2,14
St Pauli,,,,,,,,,,,,18,,,,,,,,
Stuttgart,,,,,4,5,9,1,6,3,6,12,6,12,15,14,17,,7,16
Union Berlin,,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Werder Bremen,,,,,1,3,2,3,2,10,3,13,9,14,12,10,13,8,11,8
Wolfsburg,,,,,10,9,15,15,5,1,8,14,8,11,5,2,8,16,16,6
