,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,MW,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HTHWPCT,ATAWPCT,HTF3,ATF3,HTF5,ATF5,HomeTeamLP,AwayTeamLP,HTF3Pts,ATF3Pts,HTF5Pts,ATF5Pts,HTGD,ATGD,DiffPoints,DiffFormPts3,DiffFormPts5,DiffLP,HomeAdv
0,16/08/2019,Bayern Munich,Hertha,2.0,2.0,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,1.0,11.0,0,0,0,0,0.0,0.0,0.0,0,0,-10.0,0.0
1,17/08/2019,Dortmund,Augsburg,5.0,1.0,H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,2.0,15.0,0,0,0,0,0.0,0.0,0.0,0,0,-13.0,0.0
2,17/08/2019,Freiburg,Mainz,3.0,0.0,H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,13.0,12.0,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0
3,17/08/2019,Leverkusen,Paderborn,3.0,2.0,H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,4.0,18.0,0,0,0,0,0.0,0.0,0.0,0,0,-14.0,0.0
4,17/08/2019,Werder Bremen,Fortuna Dusseldorf,1.0,3.0,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,8.0,10.0,0,0,0,0,0.0,0.0,0.0,0,0,-2.0,0.0
5,17/08/2019,Wolfsburg,FC Koln,2.0,1.0,H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,6.0,18.0,0,0,0,0,0.0,0.0,0.0,0,0,-12.0,0.0
6,17/08/2019,M'gladbach,Schalke 04,0.0,0.0,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,5.0,14.0,0,0,0,0,0.0,0.0,0.0,0,0,-9.0,0.0
7,18/08/2019,Ein Frankfurt,Hoffenheim,1.0,0.0,H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,7.0,9.0,0,0,0,0,0.0,0.0,0.0,0,0,-2.0,0.0
8,18/08/2019,Union Berlin,RB Leipzig,0.0,4.0,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,18.0,3.0,0,0,0,0,0.0,0.0,0.0,0,0,15.0,0.0
9,23/08/2019,FC Koln,Dortmund,1.0,3.0,A,2.0,0.5,2.5,1.0,0.5,0.0,1.5,0.0,0.0,L,W,L,W,18.0,2.0,0,3,0,3,-0.5,2.0,-1.5,-3,-3,16.0,0.0
10,24/08/2019,Augsburg,Union Berlin,1.0,1.0,D,2.0,0.5,0.0,2.5,2.0,0.0,0.0,0.0,0.0,L,L,L,L,15.0,18.0,0,0,0,0,-2.0,-2.0,0.0,0,0,-3.0,0.0
11,24/08/2019,Fortuna Dusseldorf,Leverkusen,1.0,3.0,A,2.0,1.5,1.5,0.5,1.0,1.5,1.5,0.0,0.0,W,W,W,W,10.0,4.0,3,3,3,3,1.0,0.5,0.0,0,0,6.0,0.0
12,24/08/2019,Hoffenheim,Werder Bremen,3.0,2.0,H,2.0,0.0,0.5,0.5,1.5,0.0,0.0,0.0,0.0,L,L,L,L,9.0,8.0,0,0,0,0,-0.5,-1.0,0.0,0,0,1.0,0.0
13,24/08/2019,Mainz,M'gladbach,1.0,3.0,A,2.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,L,D,L,D,12.0,5.0,0,1,0,1,-1.5,0.0,-0.5,-1,-1,7.0,0.0
14,24/08/2019,Paderborn,Freiburg,1.0,3.0,A,2.0,1.0,1.5,1.5,0.0,0.0,1.5,0.0,0.0,L,W,L,W,18.0,13.0,0,3,0,3,-0.5,1.5,-1.5,-3,-3,5.0,0.0
15,24/08/2019,Schalke 04,Bayern Munich,0.0,3.0,A,2.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,D,D,D,D,14.0,1.0,1,1,1,1,0.0,0.0,0.0,0,0,13.0,0.0
16,25/08/2019,RB Leipzig,Ein Frankfurt,2.0,1.0,H,2.0,2.0,0.5,0.0,0.0,1.5,1.5,0.0,0.0,W,W,W,W,3.0,7.0,3,3,3,3,2.0,0.5,0.0,0,0,-4.0,0.0
17,25/08/2019,Hertha,Wolfsburg,0.0,3.0,A,2.0,1.0,1.0,1.0,0.5,0.5,1.5,0.0,0.0,D,W,D,W,11.0,6.0,1,3,1,3,0.0,0.5,-1.0,-2,-2,5.0,0.0
18,30/08/2019,M'gladbach,RB Leipzig,1.0,3.0,A,3.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.0,0.0,1.0,DW,WW,DW,WW,5.0,3.0,4,6,4,6,0.6666666666666666,1.6666666666666667,-0.6666666666666666,-2,-2,2.0,-1.0
19,31/08/2019,Bayern Munich,Mainz,6.0,1.0,H,3.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.0,0.0,0.0,DW,LL,DW,LL,1.0,12.0,4,0,4,0,1.0,-1.6666666666666667,1.3333333333333333,4,4,-11.0,0.0
20,31/08/2019,Freiburg,FC Koln,1.0,2.0,A,3.0,2.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.0,0.0,1.0,0.0,WW,LL,WW,LL,13.0,18.0,6,0,6,0,1.6666666666666667,-1.0,2.0,6,6,-5.0,1.0
21,31/08/2019,Leverkusen,Hoffenheim,0.0,0.0,D,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,WW,LW,WW,LW,4.0,9.0,6,3,6,3,1.0,0.0,1.0,3,3,-5.0,1.0
22,31/08/2019,Schalke 04,Hertha,3.0,0.0,H,3.0,0.0,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,DL,DL,DL,DL,14.0,11.0,1,1,1,1,-1.0,-1.0,0.0,0,0,3.0,0.0
23,31/08/2019,Wolfsburg,Paderborn,1.0,1.0,D,3.0,1.6666666666666667,1.0,0.3333333333333333,2.0,2.0,0.0,1.0,0.0,WW,LL,WW,LL,6.0,18.0,6,0,6,0,1.3333333333333333,-1.0,2.0,6,6,-12.0,1.0
24,31/08/2019,Union Berlin,Dortmund,3.0,1.0,H,3.0,0.3333333333333333,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.0,0.0,1.0,LD,WW,LD,WW,18.0,2.0,1,6,1,6,-1.3333333333333333,2.0,-1.6666666666666667,-5,-5,16.0,-1.0
25,01/09/2019,Werder Bremen,Augsburg,3.0,2.0,H,3.0,1.0,0.6666666666666666,2.0,2.0,0.0,0.3333333333333333,0.0,0.0,LL,LD,LL,LD,8.0,15.0,0,1,0,1,-1.0,-1.3333333333333333,-0.3333333333333333,-1,-1,-7.0,0.0
26,01/09/2019,Ein Frankfurt,Fortuna Dusseldorf,2.0,1.0,H,3.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,1.0,1.0,WL,WL,WL,WL,7.0,10.0,3,3,3,3,0.0,0.0,0.0,0,0,-3.0,0.0
27,13/09/2019,Fortuna Dusseldorf,Wolfsburg,1.0,1.0,D,4.0,1.25,1.5,1.5,0.5,0.75,1.75,0.0,1.0,WLL,WWD,WLL,WWD,10.0,6.0,3,7,3,7,-0.25,1.0,-1.0,-4,-4,4.0,-1.0
28,14/09/2019,Augsburg,Ein Frankfurt,2.0,1.0,H,4.0,1.0,1.0,2.25,0.75,0.25,1.5,0.0,0.0,LDL,WLW,LDL,WLW,15.0,7.0,1,6,1,6,-1.25,0.25,-1.25,-5,-5,8.0,0.0
29,14/09/2019,Dortmund,Leverkusen,4.0,0.0,H,4.0,2.25,1.5,1.25,0.75,1.5,1.75,1.0,1.0,WWL,WWD,WWL,WWD,2.0,4.0,6,7,6,7,1.0,0.75,-0.25,-1,-1,-2.0,0.0
30,14/09/2019,FC Koln,M'gladbach,0.0,1.0,A,4.0,1.0,1.0,1.5,1.0,0.75,1.0,0.0,1.0,LLW,DWL,LLW,DWL,18.0,5.0,3,4,3,4,-0.5,0.0,-0.25,-1,-1,13.0,-1.0
31,14/09/2019,Mainz,Hertha,2.0,1.0,H,4.0,0.5,0.5,3.0,2.0,0.0,0.25,0.0,0.0,LLL,DLL,LLL,DLL,12.0,11.0,0,1,0,1,-2.5,-1.5,-0.25,-1,-1,1.0,0.0
32,14/09/2019,Union Berlin,Werder Bremen,1.0,2.0,A,4.0,1.0,1.5,1.5,2.0,1.0,0.75,0.0,0.0,LDW,LLW,LDW,LLW,18.0,8.0,4,3,4,3,-0.5,-0.5,0.25,1,1,10.0,0.0
33,14/09/2019,RB Leipzig,Bayern Munich,1.0,1.0,D,4.0,2.25,2.75,0.5,0.75,2.25,1.75,1.0,1.0,WWW,DWW,WWW,DWW,3.0,1.0,9,7,9,7,1.75,2.0,0.5,2,2,2.0,0.0
34,15/09/2019,Hoffenheim,Freiburg,0.0,3.0,A,4.0,0.75,1.75,0.75,0.75,1.0,1.5,1.0,1.0,LWD,WWL,LWD,WWL,9.0,13.0,4,6,4,6,0.0,1.0,-0.5,-2,-2,-4.0,0.0
35,15/09/2019,Paderborn,Schalke 04,1.0,5.0,A,4.0,1.0,0.75,1.75,0.75,0.25,1.0,0.0,0.0,LLD,DLW,LLD,DLW,18.0,14.0,1,4,1,4,-0.75,0.0,-0.75,-3,-3,4.0,0.0
36,20/09/2019,Schalke 04,Mainz,2.0,1.0,H,5.0,1.6,0.8,0.8,2.6,1.4,0.6,0.5,0.0,LWW,LLW,DLWW,LLLW,14.0,12.0,6,3,7,3,0.8,-1.8,0.8,3,4,2.0,0.5
37,21/09/2019,Bayern Munich,FC Koln,4.0,0.0,H,5.0,2.4,0.8,0.8,1.4,1.6,0.6,0.5,0.5,WWD,LWL,DWWD,LLWL,1.0,18.0,7,3,8,3,1.6,-0.6,1.0,4,5,-17.0,0.0
38,21/09/2019,Freiburg,Augsburg,1.0,1.0,D,5.0,2.0,1.2,0.6,2.0,1.8,0.8,0.5,0.0,WLW,DLW,WWLW,LDLW,13.0,15.0,6,4,9,4,1.4,-0.8,1.0,2,5,-2.0,0.5
39,21/09/2019,Hertha,Paderborn,2.0,1.0,H,5.0,0.6,1.0,2.0,2.4,0.2,0.2,0.5,0.0,LLL,LDL,DLLL,LLDL,11.0,18.0,0,1,1,1,-1.4,-1.4,0.0,-1,0,-7.0,0.5
40,21/09/2019,Leverkusen,Union Berlin,2.0,0.0,H,5.0,1.2,1.0,1.4,1.6,1.4,0.8,0.5,0.0,WDL,DWL,WWDL,LDWL,4.0,18.0,4,4,7,4,-0.2,-0.6,0.6,0,3,-14.0,0.5
41,21/09/2019,Werder Bremen,RB Leipzig,0.0,3.0,A,5.0,1.6,2.0,1.8,0.6,1.2,2.0,0.5,1.0,LWW,WWD,LLWW,WWWD,8.0,3.0,6,7,6,10,-0.2,1.4,-0.8,-1,-4,5.0,-0.5
42,22/09/2019,M'gladbach,Fortuna Dusseldorf,2.0,1.0,H,5.0,1.0,1.2,0.8,1.4,1.4,0.8,0.0,0.5,WLW,LLD,DWLW,WLLD,5.0,10.0,6,1,7,4,0.2,-0.2,0.6,5,3,-5.0,-0.5
